strategy,day,value
Buy-and-Hold,153,8841.353988647461
Buy-and-Hold,154,8841.353988647461
Buy-and-Hold,155,8841.353988647461
Buy-and-Hold,156,8841.353988647461
Buy-and-Hold,157,8841.353988647461
Buy-and-Hold,158,8841.353988647461
Buy-and-Hold,159,8841.353988647461
Buy-and-Hold,160,8841.353988647461
Buy-and-Hold,161,8841.353988647461
Buy-and-Hold,162,8841.353988647461
Buy-and-Hold,163,8841.353988647461
Buy-and-Hold,164,8841.353988647461
Buy-and-Hold,165,8841.353988647461
Buy-and-Hold,166,8841.353988647461
Buy-and-Hold,167,8841.353988647461
Buy-and-Hold,168,8841.353988647461
Buy-and-Hold,169,8841.353988647461
Buy-and-Hold,170,8841.353988647461
Buy-and-Hold,171,8841.353988647461
Buy-and-Hold,172,8841.353988647461
Buy-and-Hold,173,8841.353988647461
Buy-and-Hold,174,8841.353988647461
Buy-and-Hold,175,8841.353988647461
Buy-and-Hold,176,8841.353988647461
Buy-and-Hold,177,8841.353988647461
Buy-and-Hold,178,8841.353988647461
Buy-and-Hold,179,8841.353988647461
Buy-and-Hold,180,8841.353988647461
Buy-and-Hold,181,8841.353988647461
Buy-and-Hold,182,8841.353988647461
Buy-and-Hold,183,8841.353988647461
Buy-and-Hold,184,8841.353988647461
Buy-and-Hold,185,8841.353988647461
Buy-and-Hold,186,8841.353988647461
Buy-and-Hold,187,8841.353988647461
Buy-and-Hold,188,8841.353988647461
Buy-and-Hold,189,8841.353988647461
Buy-and-Hold,190,8841.353988647461
Buy-and-Hold,191,8841.353988647461
Buy-and-Hold,192,8841.353988647461
Buy-and-Hold,193,8841.353988647461
Buy-and-Hold,194,8841.353988647461
Buy-and-Hold,195,8841.353988647461
Buy-and-Hold,196,8841.353988647461
Buy-and-Hold,197,8841.353988647461
Buy-and-Hold,198,8841.353988647461
Buy-and-Hold,199,8841.353988647461
Buy-and-Hold,200,8841.353988647461
Buy-and-Hold,201,8841.353988647461
Buy-and-Hold,202,8841.353988647461
Buy-and-Hold,203,8841.353988647461
Buy-and-Hold,204,8841.353988647461
Buy-and-Hold,205,8841.353988647461
Buy-and-Hold,206,8841.353988647461
Buy-and-Hold,207,8841.353988647461
Buy-and-Hold,208,8841.353988647461
Buy-and-Hold,209,8841.353988647461
Buy-and-Hold,210,8841.353988647461
Buy-and-Hold,211,8841.353988647461
Buy-and-Hold,212,8841.353988647461
Buy-and-Hold,213,8841.353988647461
Buy-and-Hold,214,8841.353988647461
Buy-and-Hold,215,8841.353988647461
Buy-and-Hold,216,8841.353988647461
Buy-and-Hold,217,8841.353988647461
Buy-and-Hold,218,8841.353988647461
Buy-and-Hold,219,8841.353988647461
Buy-and-Hold,220,8841.353988647461
Buy-and-Hold,221,8841.353988647461
Buy-and-Hold,222,8841.353988647461
Buy-and-Hold,223,8841.353988647461
Buy-and-Hold,224,8841.353988647461
Buy-and-Hold,225,8841.353988647461
Buy-and-Hold,226,8841.353988647461
Buy-and-Hold,227,8841.353988647461
Buy-and-Hold,228,8841.353988647461
Buy-and-Hold,229,8841.353988647461
Buy-and-Hold,230,8841.353988647461
Buy-and-Hold,231,8841.353988647461
Buy-and-Hold,232,8841.353988647461
Buy-and-Hold,233,8841.353988647461
Buy-and-Hold,234,8841.353988647461
Buy-and-Hold,235,8841.353988647461
Buy-and-Hold,236,8841.353988647461
Buy-and-Hold,237,8841.353988647461
Buy-and-Hold,238,8841.353988647461
Buy-and-Hold,239,8841.353988647461
Buy-and-Hold,240,8841.353988647461
Buy-and-Hold,241,8841.353988647461
Buy-and-Hold,242,8841.353988647461
Buy-and-Hold,243,8841.353988647461
Buy-and-Hold,244,8841.353988647461
Buy-and-Hold,245,8841.353988647461
Buy-and-Hold,246,8841.353988647461
Buy-and-Hold,247,8841.353988647461
Buy-and-Hold,248,8841.353988647461
Buy-and-Hold,249,8841.353988647461
Buy-and-Hold,250,8841.353988647461
Random,0,10000.0
Random,1,9987.82730102539
Random,2,10238.201522827148
Random,3,10203.860855102539
Random,4,10203.860855102539
Random,5,9953.573989868164
Random,6,9892.712783813477
Random,7,9875.212478637697
Random,8,10014.962768554688
Random,9,9880.98449707031
Random,10,10116.450500488281
Random,11,10235.700607299805
Random,12,10235.700607299805
Random,13,10235.700607299805
Random,14,10213.839721679688
Random,15,10389.716339111328
Random,16,10598.3829498291
Random,17,10466.176033020018
Random,18,10422.207069396969
Random,19,10422.207069396969
Random,20,10223.724555969235
Random,21,10342.714500427242
Random,22,10349.913978576658
Random,23,10416.414070129393
Random,24,10174.413871765137
Random,25,10367.383766174315
Random,26,10338.640022277832
Random,27,10242.889976501463
Random,28,10278.89003753662
Random,29,10325.611305236815
Random,30,10274.861335754395
Random,31,10311.689186096188
Random,32,10217.939186096188
Random,33,10060.439109802242
Random,34,10060.439109802242
Random,35,10062.689018249508
Random,36,10101.439094543453
Random,37,9683.030128479002
Random,38,9846.535873413082
Random,39,9765.162277221676
Random,40,9813.396453857418
Random,41,9808.671569824215
Random,42,9798.475265502926
Random,43,9944.466781616207
Random,44,9513.53607177734
Random,45,9348.408508300778
Random,46,9424.893569946285
Random,47,9208.144760131832
Random,48,9276.158905029293
Random,49,9276.158905029293
Random,50,9276.158905029293
Random,51,9408.618164062496
Random,52,9433.862113952633
Random,53,9433.862113952633
Random,54,9433.862113952633
Random,55,9566.863059997553
Random,56,9566.863059997553
Random,57,9624.558067321774
Random,58,9383.501434326168
Random,59,9391.224670410153
Random,60,9478.12576293945
Random,61,9494.785308837885
Random,62,9179.877471923823
Random,63,9052.320480346674
Random,64,9164.200973510737
Random,65,9079.636001586909
Random,66,9079.636001586909
Random,67,8869.993209838862
Random,68,9146.20742797851
Random,69,9249.385261535639
Random,70,9277.175903320305
Random,71,9010.228347778313
Random,72,9010.228347778313
Random,73,8915.23056030273
Random,74,9009.90180969238
Random,75,9009.90180969238
Random,76,9201.56631469726
Random,77,9316.039657592766
Random,78,9225.419235229485
Random,79,9221.456718444817
Random,80,9218.957138061516
Random,81,9239.348983764641
Random,82,9311.582183837883
Random,83,9299.070739746086
Random,84,9292.072486877434
Random,85,9292.072486877434
Random,86,9364.321708679192
Random,87,9308.207702636711
Random,88,9450.465011596672
Random,89,9503.7799835205
Random,90,9794.770431518547
Random,91,9759.642410278313
Random,92,9870.756149291985
Random,93,9888.195419311516
Random,94,9760.638046264641
Random,95,9988.846969604485
Random,96,10103.947830200188
Random,97,9984.362411499016
Random,98,10205.096817016594
Random,99,10178.190994262688
Random,100,10153.277206420891
Random,101,10147.298812866204
Random,102,10012.266921997063
Random,103,9870.257949829094
Random,104,9963.43574523925
Random,105,9919.183731079094
Random,106,10055.460739135735
Random,107,10059.307098388666
Random,108,10137.666702270504
Random,109,10075.30708312988
Random,110,10034.149169921871
Random,111,9939.979171752926
Random,112,10041.416549682614
Random,113,9988.962554931637
Random,114,9865.860748291012
Random,115,9795.110702514645
Random,116,9764.610671997067
Random,117,9857.844543457028
Random,118,10178.292846679684
Random,119,10213.786315917965
Random,120,10350.263977050778
Random,121,10362.262725830074
Random,122,10127.801513671871
Random,123,10325.267791748043
Random,124,10377.509307861324
Random,125,10281.668090820309
Random,126,10265.04745483398
Random,127,10393.408203124996
Random,128,10423.90327453613
Random,129,10444.399642944332
Random,130,10461.149597167965
Random,131,10472.124862670893
Random,132,10520.516586303707
Random,133,10535.73188781738
Random,134,10601.53427124023
Random,135,10633.905792236326
Random,136,10729.527282714838
Random,137,10717.076110839838
Random,138,10697.653198242182
Random,139,10703.62930297851
Random,140,10712.096405029291
Random,141,10573.645782470698
Random,142,10463.084411621088
Random,143,10310.740661621088
Random,144,10112.409591674801
Random,145,10136.563491821284
Random,146,10127.334213256832
Random,147,10162.754821777336
Random,148,10207.225036621086
Random,149,10329.449462890618
Random,150,10308.49685668945
Random,151,10425.233459472649
Random,152,10390.811157226555
Random,153,10415.256118774407
Random,154,10463.14735412597
Random,155,10443.192672729485
Random,156,10395.051574707024
Random,157,10282.804107666012
Random,158,10304.255676269524
Random,159,10620.542907714833
Random,160,10740.272521972653
Random,161,10706.598281860346
Random,162,10723.560714721674
Random,163,10931.09245300292
Random,164,10962.771606445305
Random,165,10838.873672485344
Random,166,10830.875778198235
Random,167,10882.867050170891
Random,168,10650.905990600579
Random,169,10715.394210815422
Random,170,10776.63383483886
Random,171,10578.883743286126
Random,172,10578.883743286126
Random,173,10578.883743286126
Random,174,10578.883743286126
Random,175,10615.031433105461
Random,176,10635.972595214836
Random,177,10608.300781249993
Random,178,10619.049072265618
Random,179,11056.284332275383
Random,180,10885.665130615227
Random,181,10796.318435668938
Random,182,10909.997177124016
Random,183,10963.245773315422
Random,184,11114.485931396477
Random,185,11167.722702026356
Random,186,11210.721206665032
Random,187,11296.46644592284
Random,188,11192.219543457024
Random,189,11140.225219726557
Random,190,11115.22827148437
Random,191,11318.705749511711
Random,192,11405.196380615225
Random,193,11046.140670776358
Random,194,11304.11262512206
Random,195,11096.88491821288
Random,196,11131.024932861317
Random,197,11153.019332885731
Random,198,11152.515411376942
Random,199,11238.515472412098
Random,200,11516.01562499999
Random,201,11312.015533447257
Random,202,11469.01550292968
Random,203,11625.016021728507
Random,204,11763.015747070303
Random,205,11820.015716552725
Random,206,11846.26579284667
Random,207,11474.26567077636
Random,208,12542.265701293936
Random,209,13031.26564025878
Random,210,12797.266006469717
Random,211,12841.26548767089
Random,212,12483.26530456542
Random,213,12551.765823364245
Random,214,12751.265335083
Random,215,12786.26594543456
Random,216,12663.765716552723
Random,217,12663.765716552723
Random,218,12692.580032348622
Random,219,12603.339767456044
Random,220,12602.8408050537
Random,221,12815.801620483388
Random,222,12584.93194580077
Random,223,12795.840454101552
Random,224,13359.938430786122
Random,225,13363.036727905263
Random,226,13336.899185180653
Random,227,13261.149215698231
Random,228,13334.141540527333
Random,229,13395.605468749989
Random,230,13444.231796264638
Random,231,13489.04457092284
Random,232,13555.921173095694
Random,233,13712.912750244128
Random,234,13683.914184570296
Random,235,13624.417114257796
Random,236,13553.170776367173
Random,237,13326.985168457017
Random,238,13358.733367919907
Random,239,13406.958770751939
Random,240,13168.34640502928
Random,241,13385.591506957993
Random,242,13400.341796874984
Random,243,13359.966278076157
Random,244,13359.966278076157
Random,245,13359.966278076157
Random,246,13393.473815917954
Random,247,13336.975860595687
Random,248,13327.222442626939
Random,249,13279.988479614243
Random,250,13279.988479614243
